OTUID	C15A	C15B	C15C	C2A	C2B	C2C	C40A	C40B	C40C	C4A	C4B	C4C	C8A	C8B	C8C	T0A	T0B	T0C
b7baa37944fb48185b3ccd35739564a1	7068	6498	7198	8357	7573	7124	4524	6459	4730	6459	5836	7134	6403	7355	7170	204	239	1164
a82a5a7c35c28c40ed5a305f97da5279	1154	4210	473	3997	6020	5478	1323	75	1340	5903	6373	4661	6309	4755	3794	301	269	320
1bfdaa567ac92f2e89705c00eccc1787	2330	1324	2189	1666	1647	2075	1258	1566	1707	2163	1634	2169	2006	1720	2197	4775	5020	5186
e28bc9caeabd276628e70bea91c2db48	1133	627	961	719	701	887	598	700	685	999	729	1003	841	767	1006	2562	2598	2625
97b761526814e975f8e72239f997a31e	1038	346	1273	2044	832	815	396	934	255	629	365	1773	577	944	770	18	19	43
ae218b0c831c009018603ea094d96eb7	259	765	80	653	1172	878	274	0	243	1046	1043	910	1090	919	636	35	42	38
c7b5a3ddf50e719b0665a9457c1fa0dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3329	3246	2902
da61627240af7b4694b0ad2d6d0dc4fd	379	971	111	107	401	544	866	46	702	946	1281	361	1212	557	506	4	17	15
a3313f09060d3aa1d324ceb54d98b3a3	1700	564	1204	0	0	0	987	1579	1068	0	0	49	81	487	621	0	0	0
567f47c2717e827a7fc666e39e330023	339	788	236	386	624	531	534	83	300	653	911	494	675	585	492	9	23	56
b6337b42bcfd0cceb53036322b27704a	221	210	251	405	323	380	195	142	235	394	335	339	329	316	318	853	1003	1075
cbc90c12213b0bf0149a18539afe5c1b	1102	372	998	20	8	0	695	1297	817	27	11	37	61	362	528	2	0	0
5e7cfe9c5dbca07f13c53b0c2b567656	117	465	201	96	200	311	660	82	475	316	624	222	405	339	318	429	221	315
708795bce6cf3086da5d5b41be8b74e9	264	234	176	295	332	355	157	41	245	646	343	311	284	271	250	322	464	425
2cac2a308a6d88941c8d471c5b6595e6	608	270	974	39	26	9	834	595	927	53	40	199	127	331	595	0	0	0
aaa28bc345a452ab2c4221fa7c234543	20	1972	7	0	0	1	2244	5	2084	0	0	0	23	35	7	0	0	0
34329c0065bbfc10ffc152e921abb883	568	194	737	0	0	0	659	1663	879	0	0	7	0	68	207	0	0	0
