Sample	Aditive	Day	grassW	initialW	finalW	ph	loss
T0A	No	0	Na	Na	Na	7.28	
T0B	No	0	Na	Na	Na	7.1	
T0C	No	0	Na	Na	Na	7.34	
C2A	No	2	573.4	1184.9	1182.1	5.01	2.8
C2B	No	2	481.8	1093.9	1091.8	4.99	2.1
C2C	No	2	512.9	1124.7	1122.2	5.02	2.5
C4A	No	4	509.9	1119.7	1117.2	4.92	2.5
C4B	No	4	473.7	1085.3	1082.6	4.85	2.7
C4C	No	4	546	1157.2	1154.2	5.03	3
C8A	No	8	511.1	1121.9	1119	4.8	2.9
C8B	No	8	515.9	1127.9	1124.6	4.71	3.3
C8C	No	8	529.7	1138.5	1135.2	4.72	3.3
C15A	No	15	562.3	1172.8	1168.5	4.55	4.3
C15B	No	15	497.6	1108.8	1104.1	4.93	4.7
C15C	No	15	595.7	1208.7	1203.1	4.46	5.6
C40A	No	40	497	1109.7	1100.8	5.06	8.9
C40B	No	40	581.8	1192.4	1185.4	4.45	7
C40C	No	40	508.9	1120.3	1110.8	5.28	9.5
A0A	Yes	0	Na	Na	Na	7.28	
A0B	Yes	0	Na	Na	Na	7.1	
A0C	Yes	0	Na	Na	Na	7.34	
A2A	Yes	2	447.1	1057.8	1055.9	5.37	1.9
A2B	Yes	2	468.8	1079.9	1077.8	5.59	2.1
A2C	Yes	2	433	1044.9	1043.1	5.34	1.8
A4A	Yes	4	454.5	1064.6	1061.4	5.1	3.2
A4B	Yes	4	450.7	1059.3	1056.5	4.99	2.8
A4C	Yes	4	440.1	1052.2	1049.4	5.06	2.8
A8A	Yes	8	473.9	1087.8	1084.4	4.79	3.4
A8B	Yes	8	439.9	1050.5	1047.4	4.71	3.1
A8C	Yes	8	452.3	1065.2	1061.9	4.72	3.3
A15A	Yes	15	443.4	1056.3	1051.7	4.82	4.6
A15B	Yes	15	455.5	1065.5	1060.2	5.05	5.3
A15C	Yes	15	451.9	1066	1062.1	4.61	3.9
A40A	Yes	40	464.9	1074.7	1069.1	4.58	5.6
A40B	Yes	40	484.3	1095.2	1088	4.92	7.2
A40C	Yes	40	470	1080.8	1074.5	4.78	6.3
